VALIDACIONES PRESENCIALES NORMALIZADAS A 24H
Fuente: DOCX/CSV locales procesados por FincaDiag.
Nota: este archivo es canónico para revisión humana; el motor ya normaliza internamente estas horas.

## 2026-04-06 PM
Ventana de ordeño: 13:06 - 14:08
Vacas registradas: 19
Vaca 460 | entrada 13:25 | tag 13:25 | salida 13:37 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 466 | entrada 13:25 | tag 13:25 | salida 13:37 | rfid dudoso | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 758 | entrada 13:26 | tag 13:26 | salida 13:40 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 514 | entrada 13:33 | tag 13:33 | salida 13:50 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 538 | entrada 13:33 | tag 13:33 | salida 13:48 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 634 | entrada 13:33 | tag 13:41 | salida 13:50 | rfid dudoso | flujo dudoso | doc validacion_visita_17_04_2026.docx
Vaca 432 | entrada 13:39 | tag 13:39 | salida 13:49 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 778 | entrada 13:39 | tag 13:39 | salida 13:52 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 531 | entrada 13:52 | tag 13:52 | salida 13:59 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 754 | entrada 13:52 | tag 13:52 | salida 14:01 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 762 | entrada 13:52 | tag 13:52 | salida 13:59 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 757 | entrada 14:07:35 | tag 14:07:37 | salida 14:27 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 634 | entrada 14:10:15 | tag 14:10:17 | salida 14:26 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx
Vaca 514 | entrada 14:11:32 | tag 14:11:35 | salida 14:26 | rfid si | flujo si | doc validacion_visita_17_04_2026.docx

## 2026-04-27 PM
Ventana de ordeño: 12:50 - 13:48
Vacas registradas: 15
Vaca 538 | entrada  | tag  | salida 13:25 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 573 | entrada  | tag  | salida 13:25 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 747 | entrada  | tag  | salida 13:25 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 746 | entrada 13:21:41 | tag 13:21:42 | salida 13:30 | rfid si | flujo dudoso | doc validacion_visita_27_04_2026.docx
Vaca 756 | entrada 13:21:43 | tag 13:21:44 | salida 13:30 | rfid si | flujo dudoso | doc validacion_visita_27_04_2026.docx
Vaca 748 | entrada 13:21:45 | tag 13:21:46 | salida 13:31 | rfid si | flujo dudoso | doc validacion_visita_27_04_2026.docx
Vaca 424 | entrada 13:26 | tag 13:26 | salida 13:36 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 777 | entrada 13:26 | tag 13:28 | salida 13:36 | rfid dudoso | flujo dudoso | doc validacion_visita_27_04_2026.docx
Vaca 432 | entrada 13:27 | tag 13:27 | salida 13:37 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 460 | entrada 13:31 | tag 13:31 | salida 13:45 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 634 | entrada 13:31 | tag 13:31 | salida 13:45 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 514 | entrada 13:33 | tag 13:33 | salida 13:46 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 754 | entrada 13:37 | tag 13:37 | salida 13:46 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx
Vaca 762 | entrada 13:37 | tag 13:42 | salida 13:46 | rfid dudoso | flujo dudoso | doc validacion_visita_27_04_2026.docx
Vaca 531 | entrada 13:38 | tag 13:38 | salida 13:47 | rfid si | flujo si | doc validacion_visita_27_04_2026.docx

## 2026-05-02 PM
Ventana de ordeño: 12:43 - 13:45
Vacas registradas: 30
Vaca 424 | entrada  | tag  | salida 12:52 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 446 | entrada  | tag  | salida 12:52 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 607 | entrada  | tag  | salida 12:53 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 497 | entrada 12:48 | tag 12:48 | salida 12:58 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 664 | entrada 12:48 | tag 12:48 | salida 12:58 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 741 | entrada 12:48 | tag 12:48 | salida 12:58 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 491 | entrada 12:54 | tag 12:54 | salida 13:01 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 728 | entrada 12:54 | tag 12:54 | salida 13:01 | rfid si | flujo dudoso | doc validacion_visita_02_05_2026.docx
Vaca 752 | entrada 12:54 | tag 12:54 | salida 13:01 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 474 | entrada 12:59 | tag 12:59 | salida 13:07 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 559 | entrada 12:59 | tag 12:59 | salida 13:08 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 778 | entrada 12:59 | tag 12:59 | salida 13:08 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 498 | entrada 13:03 | tag 13:03 | salida 13:13 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 696 | entrada 13:03 | tag 13:03 | salida 13:13 | rfid si | flujo dudoso | doc validacion_visita_02_05_2026.docx
Vaca 746 | entrada 13:03 | tag 13:03 | salida 13:13 | rfid si | flujo dudoso | doc validacion_visita_02_05_2026.docx
Vaca 668 | entrada 13:08 | tag 13:08 | salida 13:09 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 773 | entrada 13:08 | tag 13:08 | salida 13:19 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 777 | entrada 13:10 | tag 13:10 | salida 13:16 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 756 | entrada 13:11 | tag 13:11 | salida 13:17 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 573 | entrada 13:14 | tag 13:14 | salida 13:22 | rfid si | flujo dudoso | doc validacion_visita_02_05_2026.docx
Vaca 747 | entrada 13:14 | tag 13:14 | salida 13:21 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 757 | entrada 13:14 | tag 13:14 | salida 13:24 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 432 | entrada 13:19 | tag 13:19 | salida 13:28 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 748 | entrada 13:19 | tag 13:19 | salida 13:27 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 460 | entrada 13:20 | tag 13:20 | salida 13:28 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 460 | entrada 13:25 | tag 13:25 | salida 13:39 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 514 | entrada 13:26 | tag 13:26 | salida 13:40 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 634 | entrada 13:26 | tag 13:26 | salida 13:40 | rfid si | flujo dudoso | doc validacion_visita_02_05_2026.docx
Vaca 754 | entrada 13:34 | tag 13:34 | salida 13:44 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 531 | entrada 13:35 | tag 13:35 | salida 13:45 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx
Vaca 762 | entrada 13:35 | tag 13:35 | salida 13:42 | rfid si | flujo si | doc validacion_visita_02_05_2026.docx

